"filename", "language", "JSON", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\README.md", "Markdown", 0, 0, 110, 0, 19, 129
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\archive\main.py", "Python", 0, 461, 0, 101, 127, 689
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\credentials.json", "JSON", 13, 0, 0, 0, 0, 13
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\auth_master.py", "Python", 0, 391, 0, 41, 64, 496
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\email_interface.py", "Python", 0, 155, 0, 31, 46, 232
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\jsons\allowed_emails_list.json", "JSON", 8, 0, 0, 0, 0, 8
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\jsons\config_email_server.json", "JSON", 6, 0, 0, 0, 0, 6
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\jsons\config_multiuser.json", "JSON", 21, 0, 0, 0, 0, 21
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\jsons\email_query_storage.json", "JSON", 0, 0, 0, 0, 1, 1
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\jsons\schedule_multiuser.json", "JSON", 86, 0, 0, 0, 0, 86
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\server_interface.py", "Python", 0, 555, 0, 144, 83, 782
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\table_gen.py", "Python", 0, 148, 0, 18, 30, 196
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\program\yshttl.py", "Python", 0, 1898, 0, 337, 544, 2779
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\python\string_compare.py", "Python", 0, 5, 0, 0, 3, 8
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\python\test.py", "Python", 0, 202, 0, 161, 93, 456
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\python\ys_portal_login.py", "Python", 0, 523, 0, 91, 97, 711
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\samples\message_template.py", "Python", 0, 164, 0, 0, 3, 167
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\token.json", "JSON", 11, 0, 0, 0, 0, 11
"c:\Users\**replaced ALIAS using filter-repo**\Desktop\github\yshttl\users_discontinued.json", "JSON", 7, 0, 0, 0, 0, 7
"Total", "-", 152, 4502, 110, 924, 1110, 6798
